value_a,value_b,result
85,66,151
80,89,169
49,60,109
100,88,188
25,48,73
4,54,58
72,61,133
64,8,72
34,62,96
23,89,112
43,32,75
97,70,167
49,79,128
48,90,138
44,27,71
23,14,37
11,82,93
79,7,86
37,55,92
98,71,169
69,16,85
98,92,190
73,44,117
18,89,107
32,95,127
30,77,107
20,13,33
49,66,115
48,50,98
4,83,87
94,16,110
58,9,67
51,80,131
33,92,125
10,57,67
92,55,147
56,29,85
99,46,145
12,39,51
49,15,64
21,60,81
9,47,56
79,27,106
27,92,119
77,42,119
13,48,61
60,46,106
23,25,48
36,1,37
62,43,105
91,59,150
7,42,49
89,9,98
17,49,66
69,9,78
24,27,51
58,5,63
87,37,124
84,62,146
91,42,133
46,15,61
38,87,125
15,40,55
88,13,101
62,97,159
68,68,136
86,69,155
13,11,24
1,58,59
42,99,141
86,67,153
37,99,136
92,58,150
49,74,123
73,100,173
68,68,136
82,89,171
11,60,71
65,84,149
29,15,44
96,34,130
25,97,122
12,96,108
31,78,109
32,23,55
57,6,63
51,24,75
89,53,142
23,92,115
84,91,175
66,22,88
38,38,76
72,78,150
75,75,150
68,52,120
79,84,163
68,90,158
70,22,92
25,50,75
